id,user_id,start_time,start_position,x,y,z,date,time
1956,0,17:35:25.919,JDDoor12,-1.4341269,-9.287108,2.6743233,2017-04-26,17:35:26.22
1971,0,17:35:25.919,JDDoor12,-1.0989386,-9.251195,2.6240451,2017-04-26,17:35:26.272
1964,0,17:35:25.919,JDDoor12,-0.6775591,-9.356541,3.3734303,2017-04-26,17:35:26.324
1960,0,17:35:25.919,JDDoor12,-0.8834604,-9.358934,3.3207579,2017-04-26,17:35:26.375
1958,0,17:35:25.919,JDDoor12,-1.163582,-9.703699,3.241749,2017-04-26,17:35:26.441
1959,0,17:35:25.919,JDDoor12,-1.1468226,-9.737218,3.169923,2017-04-26,17:35:26.493
1965,0,17:35:25.919,JDDoor12,-1.3599066,-9.631873,3.4356794,2017-04-26,17:35:26.552
1976,0,17:35:25.919,JDDoor12,-1.6783354,-10.060435,4.012682,2017-04-26,17:35:26.603
1957,0,17:35:25.919,JDDoor12,-2.0254946,-10.730812,4.5394063,2017-04-26,17:35:26.662
1955,0,17:35:25.919,JDDoor12,-2.813187,-10.132261,3.9097314,2017-04-26,17:35:26.786
1969,0,17:35:25.919,JDDoor12,-3.4213142,-10.728417,3.7612908,2017-04-26,17:35:26.838
1968,0,17:35:25.919,JDDoor12,-4.2185836,-8.803479,2.7868507,2017-04-26,17:35:26.89
1980,0,17:35:25.919,JDDoor12,-4.390966,-7.615956,1.6759412,2017-04-26,17:35:26.924
1975,0,17:35:25.919,JDDoor12,-3.6535518,-7.551312,0.81642276,2017-04-26,17:35:26.989
1953,0,17:35:25.919,JDDoor12,-1.4437037,-8.781932,-0.06943185,2017-04-26,17:35:27.065
1986,0,17:35:25.919,JDDoor12,1.364695,-11.046846,0.10534488,2017-04-26,17:35:27.129
1954,0,17:35:25.919,JDDoor12,0.12928689,-10.771513,5.0062757,2017-04-26,17:35:27.19
1963,0,17:35:25.919,JDDoor12,-1.3215994,-8.717288,5.422867,2017-04-26,17:35:27.257
1962,0,17:35:25.919,JDDoor12,-3.3446999,-7.386112,5.5377884,2017-04-26,17:35:27.32
1987,0,17:35:25.919,JDDoor12,-3.6343982,-7.007828,4.003105,2017-04-26,17:35:27.422
1970,0,17:35:25.919,JDDoor12,-2.9712043,-9.287108,3.7493198,2017-04-26,17:35:27.517
1978,0,17:35:25.919,JDDoor12,-1.2808979,-11.518504,4.201824,2017-04-26,17:35:27.576
1983,0,17:35:25.919,JDDoor12,-1.3814543,-9.653421,4.4603977,2017-04-26,17:35:27.592
1982,0,17:35:25.919,JDDoor12,-1.067814,-9.662998,5.542577,2017-04-26,17:35:27.643
1994,0,17:35:25.919,JDDoor12,-0.58897364,-7.117962,7.81228,2017-04-26,17:35:27.693
1988,0,17:35:25.919,JDDoor12,0.29209262,-3.7780502,8.844181,2017-04-26,17:35:27.731
1999,0,17:35:25.919,JDDoor12,0.6631939,1.0151415,8.935161,2017-04-26,17:35:27.783
1991,0,17:35:25.919,JDDoor12,1.5059528,1.745373,8.659827,2017-04-26,17:35:27.834
1993,0,17:35:25.919,JDDoor12,1.7381904,2.9257145,8.085219,2017-04-26,17:35:27.886
1998,0,17:35:25.919,JDDoor12,1.4628572,2.7389667,7.6853876,2017-04-26,17:35:27.94
1992,0,17:35:25.919,JDDoor12,1.1851299,0.91219085,9.016563,2017-04-26,17:35:27.974
1996,0,17:35:25.919,JDDoor12,2.5905263,3.086126,9.41879,2017-04-26,17:35:28.034
1997,0,17:35:25.919,JDDoor12,3.6990416,3.952827,9.900024,2017-04-26,17:35:28.074
2001,0,17:35:25.919,JDDoor12,3.739743,3.478775,9.885659,2017-04-26,17:35:28.124
2005,0,17:35:25.919,JDDoor12,3.857059,3.4500446,9.411607,2017-04-26,17:35:28.182
2004,0,17:35:25.919,JDDoor12,3.6870706,2.6192567,11.915942,2017-04-26,17:35:28.234
2003,0,17:35:25.919,JDDoor12,2.791639,-1.733402,12.691663,2017-04-26,17:35:28.287
1961,0,17:35:25.919,JDDoor12,2.3630772,0.22266077,11.18571,2017-04-26,17:35:28.339
1966,0,17:35:25.919,JDDoor12,0.5363012,-1.6879122,9.564836,2017-04-26,17:35:28.39
1967,0,17:35:25.919,JDDoor12,2.0231004,1.1324574,9.198523,2017-04-26,17:35:28.441
1972,0,17:35:25.919,JDDoor12,3.1914709,1.9393034,9.991004,2017-04-26,17:35:28.497
1973,0,17:35:25.919,JDDoor12,1.5801731,1.388637,9.878476,2017-04-26,17:35:28.547
