id,user_id,start_time,start_position,x,y,z,date,time
7021,0,20:30:50.241,JDDoor13,-0.320823,-3.2992098,10.970232,2017-04-26,20:30:50.742
7022,0,20:30:50.241,JDDoor13,-0.11492168,-2.0518308,10.16578,2017-04-26,20:30:50.789
7023,0,20:30:50.241,JDDoor13,-0.14844051,-2.1619642,10.366894,2017-04-26,20:30:50.831
7028,0,20:30:50.241,JDDoor13,0.12928689,-3.4284968,11.271901,2017-04-26,20:30:50.895
7029,0,20:30:50.241,JDDoor13,-0.92895025,-2.4468741,9.950302,2017-04-26,20:30:50.975
7025,0,20:30:50.241,JDDoor13,-0.29448682,-3.2345665,10.656591,2017-04-26,20:30:50.978
7027,0,20:30:50.241,JDDoor13,-2.44448,-2.779668,9.765948,2017-04-26,20:30:51.039
7024,0,20:30:50.241,JDDoor13,-4.596867,-1.7525556,7.1873937,2017-04-26,20:30:51.096
7026,0,20:30:50.241,JDDoor13,-5.1642933,-5.1906295,8.090008,2017-04-26,20:30:51.175
7032,0,20:30:50.241,JDDoor13,-4.0078936,-7.350199,9.619903,2017-04-26,20:30:51.251
7034,0,20:30:50.241,JDDoor13,-2.4732103,-8.259995,10.019734,2017-04-26,20:30:51.31
7037,0,20:30:50.241,JDDoor13,-1.3575124,-7.1059904,8.961497,2017-04-26,20:30:51.363
7033,0,20:30:50.241,JDDoor13,-0.81642276,-5.758055,9.660604,2017-04-26,20:30:51.404
7039,0,20:30:50.241,JDDoor13,-1.769315,-4.745308,10.101137,2017-04-26,20:30:51.459
7052,0,20:30:50.241,JDDoor13,-0.94331545,-0.4309563,7.501034,2017-04-26,20:30:51.523
7044,0,20:30:50.241,JDDoor13,2.9376855,-0.32800564,6.5984197,2017-04-26,20:30:51.574
7040,0,20:30:50.241,JDDoor13,6.8450227,2.834735,5.4300494,2017-04-26,20:30:51.653
7049,0,20:30:50.241,JDDoor13,9.165004,-12.62702,17.389088,2017-04-26,20:30:51.705
7051,0,20:30:50.241,JDDoor13,0.47884035,-5.9639564,11.563994,2017-04-26,20:30:51.747
7043,0,20:30:50.241,JDDoor13,0.7062895,-5.5377884,7.261614,2017-04-26,20:30:51.813
7048,0,20:30:50.241,JDDoor13,1.7764976,-4.6016555,8.626308,2017-04-26,20:30:51.871
7046,0,20:30:50.241,JDDoor13,1.8722657,-3.095703,9.445126,2017-04-26,20:30:51.931
7056,0,20:30:50.241,JDDoor13,1.6472107,-3.7924154,9.646238,2017-04-26,20:30:51.98
7058,0,20:30:50.241,JDDoor13,2.6647465,-2.767697,9.449914,2017-04-26,20:30:52.03
7055,0,20:30:50.241,JDDoor13,2.8658595,-2.6503813,9.406818,2017-04-26,20:30:52.082
7057,0,20:30:50.241,JDDoor13,2.6551697,-2.5354595,9.703699,2017-04-26,20:30:52.133
7054,0,20:30:50.241,JDDoor13,2.7150247,-2.717419,9.77792,2017-04-26,20:30:52.199
7060,0,20:30:50.241,JDDoor13,2.4708161,-2.420538,9.397242,2017-04-26,20:30:52.276
7030,0,20:30:50.241,JDDoor13,2.4756045,-2.3223755,9.507375,2017-04-26,20:30:52.325
