id,user_id,start_time,start_position,x,y,z,date,time
12,0,17:11:05.086,JDDoor11,-2.0901382,-4.6232033,9.564836,2017-04-26,17:11:05.19
1,0,17:11:05.086,JDDoor11,-2.195483,-4.7500963,8.908825,2017-04-26,17:11:05.256
19,0,17:11:05.086,JDDoor11,-2.2601264,-5.475539,8.441956,2017-04-26,17:11:05.306
2,0,17:11:05.086,JDDoor11,-2.4109612,-5.2002063,8.030152,2017-04-26,17:11:05.371
16,0,17:11:05.086,JDDoor11,-2.456451,-5.533,8.034941,2017-04-26,17:11:05.422
11,0,17:11:05.086,JDDoor11,-2.7748797,-5.571307,8.693346,2017-04-26,17:11:05.473
8,0,17:11:05.086,JDDoor11,-2.870648,-5.1882353,8.403648,2017-04-26,17:11:05.527
3,0,17:11:05.086,JDDoor11,-2.966416,-5.5282116,8.966286,2017-04-26,17:11:05.579
4,0,17:11:05.086,JDDoor11,-3.2369606,-4.283227,9.454702,2017-04-26,17:11:05.649
13,0,17:11:05.086,JDDoor11,-3.8426938,-4.1156325,9.210494,2017-04-26,17:11:05.696
5,0,17:11:05.086,JDDoor11,-3.667917,-4.5322237,8.846576,2017-04-26,17:11:05.766
7,0,17:11:05.086,JDDoor11,-3.3183637,-5.81791,8.461109,2017-04-26,17:11:05.816
6,0,17:11:05.086,JDDoor11,-2.621651,-6.131551,7.2951326,2017-04-26,17:11:05.893
20,0,17:11:05.086,JDDoor11,-1.115698,-4.1180267,7.855376,2017-04-26,17:11:05.988
17,0,17:11:05.086,JDDoor11,0.49081135,-4.594473,6.3206925,2017-04-26,17:11:06.022
24,0,17:11:05.086,JDDoor11,3.1555579,-2.0733786,6.897695,2017-04-26,17:11:06.079
14,0,17:11:05.086,JDDoor11,7.7667904,-11.195287,17.257406,2017-04-26,17:11:06.121
27,0,17:11:05.086,JDDoor11,2.846706,-5.195418,11.664551,2017-04-26,17:11:06.17
21,0,17:11:05.086,JDDoor11,2.3295584,-5.0254292,6.1100025,2017-04-26,17:11:06.22
32,0,17:11:05.086,JDDoor11,-0.045489833,1.3024458,12.196063,2017-04-26,17:11:06.348
39,0,17:11:05.086,JDDoor11,4.6710877,-2.882619,10.484209,2017-04-26,17:11:06.4
31,0,17:11:05.086,JDDoor11,2.1140802,-3.0119057,8.8777,2017-04-26,17:11:06.435
26,0,17:11:05.086,JDDoor11,3.4715924,-2.918532,9.478644,2017-04-26,17:11:06.494
37,0,17:11:05.086,JDDoor11,3.3039982,-2.1691468,8.973468,2017-04-26,17:11:06.536
38,0,17:11:05.086,JDDoor11,3.514688,-2.4899697,9.165004,2017-04-26,17:11:06.586
23,0,17:11:05.086,JDDoor11,3.4500446,-2.0374656,9.397242,2017-04-26,17:11:06.634
29,0,17:11:05.086,JDDoor11,2.5761611,-2.7868507,10.149021,2017-04-26,17:11:06.701
33,0,17:11:05.086,JDDoor11,2.0015526,-2.066196,9.509769,2017-04-26,17:11:06.75
40,0,17:11:05.086,JDDoor11,0.4381389,-1.8267759,10.96305,2017-04-26,17:11:06.817
46,0,17:11:05.086,JDDoor11,-0.32800564,-2.0470424,11.089942,2017-04-26,17:11:06.864
45,0,17:11:05.086,JDDoor11,-1.2569559,-2.1260512,11.365275,2017-04-26,17:11:06.932
47,0,17:11:05.086,JDDoor11,-2.099715,-1.1971009,10.484209,2017-04-26,17:11:06.982
9,0,17:11:05.086,JDDoor11,-2.396596,-2.2601264,9.907207,2017-04-26,17:11:07.045
10,0,17:11:05.086,JDDoor11,-2.516306,-2.6001031,9.82341,2017-04-26,17:11:07.115
15,0,17:11:05.086,JDDoor11,-2.7126305,-1.8435353,9.009381,2017-04-26,17:11:07.17
