id,user_id,start_time,start_position,x,y,z,date,time
3108,0,18:31:25.022,JDDoor12,-4.7070007,-7.6949644,1.958457,2017-04-26,18:31:24.491
3110,0,18:31:25.022,JDDoor12,-4.6136265,-7.383718,1.5251064,2017-04-26,18:31:24.548
3109,0,18:31:25.022,JDDoor12,-4.9105077,-8.50181,1.6903064,2017-04-26,18:31:24.554
3111,0,18:31:25.022,JDDoor12,-5.327099,-8.882488,2.8299465,2017-04-26,18:31:24.596
3113,0,18:31:25.022,JDDoor12,-5.281609,-9.849746,4.0773253,2017-04-26,18:31:24.662
3112,0,18:31:25.022,JDDoor12,-4.3981485,-10.484209,4.1611223,2017-04-26,18:31:24.717
3119,0,18:31:25.022,JDDoor12,-3.9935284,-6.921637,5.0900726,2017-04-26,18:31:24.772
3118,0,18:31:25.022,JDDoor12,-4.3861775,-2.7844565,3.9791632,2017-04-26,18:31:24.805
3117,0,18:31:25.022,JDDoor12,-6.0740895,-6.2584434,9.627085,2017-04-26,18:31:24.862
3129,0,18:31:25.022,JDDoor12,-6.227319,-5.391742,5.947197,2017-04-26,18:31:24.914
3130,0,18:31:25.022,JDDoor12,-6.3063273,-8.901642,9.361329,2017-04-26,18:31:24.974
3125,0,18:31:25.022,JDDoor12,-5.1259856,-9.136273,8.214506,2017-04-26,18:31:25.106
3136,0,18:31:25.022,JDDoor12,-3.6224272,-6.136339,8.058883,2017-04-26,18:31:25.13
3135,0,18:31:25.022,JDDoor12,-1.4915876,-3.8833952,6.256049,2017-04-26,18:31:25.188
3131,0,18:31:25.022,JDDoor12,2.858677,-2.8538885,7.529764,2017-04-26,18:31:25.229
3138,0,18:31:25.022,JDDoor12,3.335123,-0.51954174,7.759608,2017-04-26,18:31:25.283
3128,0,18:31:25.022,JDDoor12,3.4476504,-0.62009823,8.02297,2017-04-26,18:31:25.35
3124,0,18:31:25.022,JDDoor12,3.7349546,0.9792285,7.074866,2017-04-26,18:31:25.406
3139,0,18:31:25.022,JDDoor12,5.1140146,3.643975,10.30225,2017-04-26,18:31:25.447
3141,0,18:31:25.022,JDDoor12,1.9800048,-4.8147397,19.069817,2017-04-26,18:31:25.519
3150,0,18:31:25.022,JDDoor12,1.3215994,-2.8898015,13.089101,2017-04-26,18:31:25.577
3149,0,18:31:25.022,JDDoor12,1.0702082,-2.1763294,9.25359,2017-04-26,18:31:25.617
3144,0,18:31:25.022,JDDoor12,0.82121116,-1.757344,9.528923,2017-04-26,18:31:25.684
3154,0,18:31:25.022,JDDoor12,2.5067291,2.6479871,6.0142345,2017-04-26,18:31:25.741
3147,0,18:31:25.022,JDDoor12,3.2848446,-1.4508862,8.930372,2017-04-26,18:31:25.795
3145,0,18:31:25.022,JDDoor12,3.7900212,0.33758244,11.109096,2017-04-26,18:31:25.836
3142,0,18:31:25.022,JDDoor12,3.8283286,-0.30885202,9.109938,2017-04-26,18:31:25.895
3151,0,18:31:25.022,JDDoor12,3.2824504,-0.6488287,9.109938,2017-04-26,18:31:25.949
3116,0,18:31:25.022,JDDoor12,1.5251064,-1.8243817,9.950302,2017-04-26,18:31:25.999
3115,0,18:31:25.022,JDDoor12,1.1420342,-1.271321,11.300632,2017-04-26,18:31:26.088
3114,0,18:31:25.022,JDDoor12,0.076614454,-1.8986019,10.848128,2017-04-26,18:31:26.139
3120,0,18:31:25.022,JDDoor12,-1.8363527,-1.9033904,10.199299,2017-04-26,18:31:26.219
3121,0,18:31:25.022,JDDoor12,-1.5514427,-0.93373865,10.623073,2017-04-26,18:31:26.253
3122,0,18:31:25.022,JDDoor12,-3.6008794,-3.667917,11.243171,2017-04-26,18:31:26.292
3123,0,18:31:25.022,JDDoor12,-3.7301662,-3.7205894,8.580819,2017-04-26,18:31:26.347
3126,0,18:31:25.022,JDDoor12,-3.9719806,-5.473145,9.31105,2017-04-26,18:31:26.399
3127,0,18:31:25.022,JDDoor12,-1.520318,-5.130774,10.0508585,2017-04-26,18:31:26.454
3132,0,18:31:25.022,JDDoor12,-2.2960393,-7.723695,9.694122,2017-04-26,18:31:26.522
3133,0,18:31:25.022,JDDoor12,-3.7205894,-5.923255,7.1131735,2017-04-26,18:31:26.577
3134,0,18:31:25.022,JDDoor12,0.7302315,-3.952827,7.019799,2017-04-26,18:31:26.609
3137,0,18:31:25.022,JDDoor12,3.4763808,-6.8210807,3.7541082,2017-04-26,18:31:26.666
3140,0,18:31:25.022,JDDoor12,5.2265425,-5.094861,-1.3000516,2017-04-26,18:31:26.751
3143,0,18:31:25.022,JDDoor12,6.4547677,-8.444349,-0.90021986,2017-04-26,18:31:26.808
3146,0,18:31:25.022,JDDoor12,7.433996,-7.699753,1.5275006,2017-04-26,18:31:26.87
3148,0,18:31:25.022,JDDoor12,12.3277445,-11.552023,-1.5035586,2017-04-26,18:31:26.91
3152,0,18:31:25.022,JDDoor12,11.221623,-14.267048,4.5872903,2017-04-26,18:31:26.971
3153,0,18:31:25.022,JDDoor12,6.727707,-11.767501,3.2680852,2017-04-26,18:31:27.024
3155,0,18:31:25.022,JDDoor12,7.872135,-12.665327,5.403713,2017-04-26,18:31:27.077
3156,0,18:31:25.022,JDDoor12,8.62152,-9.763555,4.465186,2017-04-26,18:31:27.15
3157,0,18:31:25.022,JDDoor12,10.505757,-5.8083334,2.9472623,2017-04-26,18:31:27.191
3158,0,18:31:25.022,JDDoor12,10.572795,-2.2026656,1.5035586,2017-04-26,18:31:27.242
3159,0,18:31:25.022,JDDoor12,9.725247,-2.0231004,1.8770541,2017-04-26,18:31:27.314
3160,0,18:31:25.022,JDDoor12,12.380417,-2.372654,1.8483237,2017-04-26,18:31:27.356
3161,0,18:31:25.022,JDDoor12,12.548011,-1.9273324,0.5410896,2017-04-26,18:31:27.457
3162,0,18:31:25.022,JDDoor12,12.282255,-0.58897364,1.3814543,2017-04-26,18:31:27.499
3163,0,18:31:25.022,JDDoor12,12.3277445,0.18914193,0.7637503,2017-04-26,18:31:27.535
3164,0,18:31:25.022,JDDoor12,9.303867,-2.9951463,4.0222588,2017-04-26,18:31:27.594
3165,0,18:31:25.022,JDDoor12,11.20247,-2.7365725,5.681441,2017-04-26,18:31:27.684
3166,0,18:31:25.022,JDDoor12,9.768343,-2.908955,2.3439236,2017-04-26,18:31:27.768
3167,0,18:31:25.022,JDDoor12,7.565677,-1.5490485,1.7932571,2017-04-26,18:31:27.799
3168,0,18:31:25.022,JDDoor12,7.6111674,-2.372654,1.7357962,2017-04-26,18:31:27.842
3169,0,18:31:25.022,JDDoor12,9.981427,-4.560954,2.099715,2017-04-26,18:31:27.874
3170,0,18:31:25.022,JDDoor12,11.348516,-5.5737014,1.1827357,2017-04-26,18:31:27.926
3171,0,18:31:25.022,JDDoor12,10.903194,-7.038953,3.1483753,2017-04-26,18:31:27.983
3172,0,18:31:25.022,JDDoor12,10.675745,-6.6415157,3.1244333,2017-04-26,18:31:28.063
3173,0,18:31:25.022,JDDoor12,6.2392898,-6.7851677,5.5641246,2017-04-26,18:31:28.123
3174,0,18:31:25.022,JDDoor12,13.357251,-5.0182467,3.4452562,2017-04-26,18:31:28.184
3175,0,18:31:25.022,JDDoor12,10.383653,-2.0757728,3.514688,2017-04-26,18:31:28.242
3176,0,18:31:25.022,JDDoor12,8.4108305,-2.2744915,3.4356794,2017-04-26,18:31:28.283
3177,0,18:31:25.022,JDDoor12,8.947132,-1.4269443,2.219425,2017-04-26,18:31:28.351
3178,0,18:31:25.022,JDDoor12,7.728483,-0.1388637,2.0254946,2017-04-26,18:31:28.416
3179,0,18:31:25.022,JDDoor12,6.8689647,0.15322891,0.91937345,2017-04-26,18:31:28.45
3181,0,18:31:25.022,JDDoor12,8.063671,-0.7134721,1.2042835,2017-04-26,18:31:28.516
3182,0,18:31:25.022,JDDoor12,11.240777,-2.4396915,1.9321208,2017-04-26,18:31:28.55
3183,0,18:31:25.022,JDDoor12,14.240712,-4.879383,1.7884687,2017-04-26,18:31:28.607
3180,0,18:31:25.022,JDDoor12,13.378799,-5.1666875,3.608062,2017-04-26,18:31:28.673
3184,0,18:31:25.022,JDDoor12,13.081918,-4.417302,2.3942018,2017-04-26,18:31:28.721
3185,0,18:31:25.022,JDDoor12,9.361329,-2.3654714,2.753332,2017-04-26,18:31:28.794
3187,0,18:31:25.022,JDDoor12,6.4499793,-3.4739866,1.8722657,2017-04-26,18:31:28.832
3186,0,18:31:25.022,JDDoor12,5.616797,-4.6375685,1.5275006,2017-04-26,18:31:28.898
3188,0,18:31:25.022,JDDoor12,6.5984197,-5.9160724,1.2425907,2017-04-26,18:31:28.939
3189,0,18:31:25.022,JDDoor12,7.8290396,-10.400413,1.4508862,2017-04-26,18:31:29.003
