id,user_id,start_time,start_position,x,y,z,date,time
400,0,17:17:21.757,JDDoor11,-2.2481554,-9.504981,2.420538,2017-04-26,17:17:22.205
443,0,17:17:21.757,JDDoor11,-2.4229321,-9.876082,2.1188686,2017-04-26,17:17:22.218
404,0,17:17:21.757,JDDoor11,-2.7246015,-9.52174,1.8986019,2017-04-26,17:17:22.281
436,0,17:17:21.757,JDDoor11,-2.846706,-9.105149,1.3958195,2017-04-26,17:17:22.341
399,0,17:17:21.757,JDDoor11,-2.5234885,-9.198523,1.9321208,2017-04-26,17:17:22.349
397,0,17:17:21.757,JDDoor11,-2.633622,-8.892065,2.0470424,2017-04-26,17:17:22.399
407,0,17:17:21.757,JDDoor11,-2.6144683,-8.796297,1.970428,2017-04-26,17:17:22.461
405,0,17:17:21.757,JDDoor11,-2.6144683,-9.380483,2.2218192,2017-04-26,17:17:22.487
387,0,17:17:21.757,JDDoor11,-3.1387985,-10.579977,2.7509377,2017-04-26,17:17:22.536
437,0,17:17:21.757,JDDoor11,-3.8905778,-9.950302,4.175488,2017-04-26,17:17:22.592
395,0,17:17:21.757,JDDoor11,-4.697424,-9.155427,5.2600613,2017-04-26,17:17:22.684
423,0,17:17:21.757,JDDoor11,-5.161899,-7.1347213,5.731719,2017-04-26,17:17:22.743
385,0,17:17:21.757,JDDoor11,-4.4915223,-3.5218706,7.848193,2017-04-26,17:17:22.829
389,0,17:17:21.757,JDDoor11,-4.0174704,-2.0685902,10.900801,2017-04-26,17:17:22.867
422,0,17:17:21.757,JDDoor11,-0.5602432,1.4700398,11.123461,2017-04-26,17:17:22.922
449,0,17:17:21.757,JDDoor11,1.9129672,3.2441432,10.314221,2017-04-26,17:17:22.967
431,0,17:17:21.757,JDDoor11,3.1052797,4.584896,10.170568,2017-04-26,17:17:23.054
391,0,17:17:21.757,JDDoor11,2.1260512,5.317522,8.327033,2017-04-26,17:17:23.094
432,0,17:17:21.757,JDDoor11,0.7374141,4.5777135,8.497022,2017-04-26,17:17:23.143
444,0,17:17:21.757,JDDoor11,0.17956513,3.9480386,8.76996,2017-04-26,17:17:23.188
393,0,17:17:21.757,JDDoor11,-1.151611,3.3806129,8.746018,2017-04-26,17:17:23.273
383,0,17:17:21.757,JDDoor11,-1.3790601,2.7940333,8.281544,2017-04-26,17:17:23.309
445,0,17:17:21.757,JDDoor11,0.6536171,1.5897499,9.591172,2017-04-26,17:17:23.361
439,0,17:17:21.757,JDDoor11,4.144363,1.0893618,11.11149,2017-04-26,17:17:23.426
425,0,17:17:21.757,JDDoor11,3.1316159,0.93373865,8.9040365,2017-04-26,17:17:23.497
419,0,17:17:21.757,JDDoor11,4.232949,-2.4756045,5.1762643,2017-04-26,17:17:23.559
384,0,17:17:21.757,JDDoor11,3.0142999,6.3063273,5.2026005,2017-04-26,17:17:23.611
398,0,17:17:21.757,JDDoor11,2.9017725,-17.336414,19.393034,2017-04-26,17:17:23.675
386,0,17:17:21.757,JDDoor11,2.5450363,-6.979098,8.884883,2017-04-26,17:17:23.739
390,0,17:17:21.757,JDDoor11,1.3862427,-3.4596214,7.165846,2017-04-26,17:17:23.788
409,0,17:17:21.757,JDDoor11,-1.7764976,-1.2378023,9.720459,2017-04-26,17:17:23.851
